SIGLAS,Riesgo_tipo_contratacion,serv_sanc,prov_sanc,noticias,pca,alerta2
SAP,39.25845357653623,0.0,0.0,0.0,-0.2849043576341801,4
PROMEXICO,39.41731473645021,0.0,0.0,1.0,-0.28633926881155136,4
API-Topolobampo,39.62600621659228,0.0,0.0,0.0,-0.29402883890566506,4
CIDE,41.87486263639517,0.0,0.0,21.0,-0.29717157856713816,4
CONADE,43.41129292805226,0.0,3.0,2.0,-0.29827613518620205,4
COLBACH,41.46021319288829,1.0,0.0,4.0,-0.2992002091374035,4
IMPI,42.61886042025916,0.0,2.0,4.0,-0.30182129969214977,4
SNICS,39.94880464745609,0.0,0.0,0.0,-0.30204229851904846,4
HRAEO,43.91904912853386,3.0,0.0,1.0,-0.3071121445715608,4
API-Guaymas,40.30614538462931,0.0,0.0,0.0,-0.3109132696631504,4
FONATUR Constructora,40.4705975007235,0.0,0.0,0.0,-0.3149957876206563,4
CNSF,40.74117230891162,0.0,0.0,0.0,-0.32171279765076155,4
FOCIR,40.94165124832603,0.0,0.0,0.0,-0.3266896802212011,4
API-Salina Cruz,41.45501872253381,0.0,0.0,0.0,-0.3394340095860619,4
IFAI,41.88606161448046,0.0,0.0,4.0,-0.34009938814812535,4
CJEF,41.507095843229926,0.0,0.0,0.0,-0.3407268222628858,4
IFT,41.72469657828233,0.0,0.0,2.0,-0.34111112982166175,4
PROFEDET,41.71237026964271,0.0,0.0,0.0,-0.34582275262821444,4
BANSEFI,42.194752585749804,0.0,0.0,3.0,-0.35027144206771144,4
API-Altamira,41.93135652941925,0.0,0.0,0.0,-0.35125907877115753,4
ININ,48.85898697026022,0.0,6.0,0.0,-0.3538278805376657,4
INR,42.08095871759863,0.0,0.0,0.0,-0.3549729477941276,4
INBAL,47.066878598793565,4.0,0.0,0.0,-0.3574382041452285,4
PROSPERA,46.18328408450125,0.0,2.0,15.0,-0.3627110645121284,4
API-Puerto Madero,42.53131498856942,0.0,0.0,0.0,-0.3661530262703486,4
INCARD,43.69252407339218,0.0,1.0,0.0,-0.3667451042459462,4
